"","x"
"Wave_1153",0.475511604052107
"Wave_1154",0.47141439355999
"Wave_1155",0.467655663524239
"Wave_1156",0.463607090232296
"Wave_1157",0.459661269579871
"Wave_1158",0.455661003347804
"Wave_1159",0.452021675680178
"Wave_1160",0.448587780739608
"Wave_1161",0.444609677286548
"Wave_1162",0.440931097844772
"Wave_1163",0.437094686900549
"Wave_1164",0.433108490657615
"Wave_1165",0.42943155296103
"Wave_1166",0.426048443728791
"Wave_1167",0.422955885017168
"Wave_1168",0.420352757120129
"Wave_1169",0.41796953364377
"Wave_1170",0.41605887013263
"Wave_1171",0.414376360970634
"Wave_1172",0.413110398703401
"Wave_1173",0.412109442095439
"Wave_1174",0.411277922169161
"Wave_1175",0.410687902826563
"Wave_1176",0.410273702677875
"Wave_1177",0.409854302484931
"Wave_1178",0.409486577896509
"Wave_1179",0.408942548023577
"Wave_1180",0.4086346849392
"Wave_1181",0.408597228959926
"Wave_1182",0.408826198256352
"Wave_1183",0.40930047787776
"Wave_1184",0.409935833761959
"Wave_1185",0.410617593833973
"Wave_1186",0.411388975106236
"Wave_1187",0.412155165658632
"Wave_1188",0.412690564016713
"Wave_1189",0.413366153214722
"Wave_1190",0.414019947680202
"Wave_1191",0.414752664377155
"Wave_1192",0.415861685981246
"Wave_1193",0.417235717025511
"Wave_1194",0.41871179809662
"Wave_1195",0.4205585581483
"Wave_1196",0.422386246084337
"Wave_1197",0.423817916715273
"Wave_1198",0.42533881558752
"Wave_1199",0.427212617351419
"Wave_1200",0.428365677402471
"Wave_1201",0.42905902686027
"Wave_1202",0.429725902558531
"Wave_1203",0.430385521465229
"Wave_1204",0.430167505508061
"Wave_1205",0.429093948453144
"Wave_1206",0.428437262208414
"Wave_1207",0.427481566013043
"Wave_1208",0.426536292674683
"Wave_1209",0.426063649521567
"Wave_1210",0.42599103458802
"Wave_1211",0.425560003046081
"Wave_1212",0.42522248177321
"Wave_1213",0.425098307066072
"Wave_1214",0.425165144974224
"Wave_1215",0.425156751326395
"Wave_1216",0.425165937120658
"Wave_1217",0.42544952929519
"Wave_1218",0.42573235581202
"Wave_1219",0.426340184474647
"Wave_1220",0.427449444548738
"Wave_1221",0.42852252565213
"Wave_1222",0.429971907389471
"Wave_1223",0.431083056535911
"Wave_1224",0.431923929361368
"Wave_1225",0.432992093170009
"Wave_1226",0.434513402760343
"Wave_1227",0.435832104553306
"Wave_1228",0.437674166340604
"Wave_1229",0.439838426518786
"Wave_1230",0.441202083159992
"Wave_1231",0.441815823861155
