"","SLA.13.comps"
"Wave_635",-40.6158911087122
"Wave_636",-40.11793874689
"Wave_637",-40.1450918701245
"Wave_638",-41.2753858120602
"Wave_639",-43.1348810137776
"Wave_640",-44.8189978213647
"Wave_641",-45.0488269523219
"Wave_642",-46.1860389786887
"Wave_643",-47.3241567077407
"Wave_644",-47.665415335925
"Wave_645",-48.8267804698782
"Wave_646",-48.8274604117583
"Wave_647",-47.6906664921902
"Wave_648",-46.5015307222788
"Wave_649",-45.3306271278882
"Wave_650",-42.9450159080251
"Wave_651",-39.0177337088156
"Wave_652",-34.6365569009736
"Wave_653",-32.104613912179
"Wave_654",-29.9057740038968
"Wave_655",-26.4977434470495
"Wave_656",-24.8318787032835
"Wave_657",-22.9439903129538
"Wave_658",-20.798072845194
"Wave_659",-19.6615716459936
"Wave_660",-18.606185631382
"Wave_661",-16.9485395453962
"Wave_662",-14.8962009449316
"Wave_663",-14.2029622641996
"Wave_664",-13.1825728150676
"Wave_665",-11.1906916891341
"Wave_666",-8.47769648164917
"Wave_667",-7.51218997268821
"Wave_668",-6.92423882720883
"Wave_669",-5.56567628215166
"Wave_670",-2.8179287555533
"Wave_671",-0.701228093684655
"Wave_672",2.15746903526852
"Wave_673",6.52300718069241
"Wave_674",10.2486851116045
"Wave_675",13.6567140601871
"Wave_676",17.3376369077697
"Wave_677",22.0032359127683
"Wave_678",27.8378365093319
"Wave_679",33.6145820974605
"Wave_680",39.1343799281613
"Wave_681",45.4232147076892
"Wave_682",51.2596864979753
"Wave_683",55.7814458940129
"Wave_684",59.1826530148126
"Wave_685",64.5884353882152
"Wave_686",67.1586585484995
"Wave_687",67.3725464785012
"Wave_688",68.3344457006376
"Wave_689",69.2625156480237
"Wave_690",68.203768256322
"Wave_691",65.7421666347931
"Wave_692",66.256612534333
"Wave_693",68.0031245376152
"Wave_694",70.6843169213081
"Wave_695",74.0783070248759
"Wave_696",77.7540619303782
"Wave_697",83.157930330311
"Wave_698",89.1054841230516
"Wave_699",93.0230105530624
"Wave_700",98.8817829437324
"Wave_701",103.597626344037
"Wave_702",104.350625529064
"Wave_703",102.330248384961
"Wave_704",98.462294453151
"Wave_705",91.5549862375657
"Wave_706",82.1049149790454
"Wave_707",77.9783872134724
"Wave_708",75.4578302036725
"Wave_709",71.1224219617668
"Wave_710",62.7193883793484
"Wave_711",56.3410775334146
"Wave_712",51.4550798243712
"Wave_713",47.4423716150383
"Wave_714",44.8381924836954
"Wave_715",43.269177721548
"Wave_716",40.9899232718529
"Wave_717",36.9995441624231
"Wave_718",32.2744713730195
"Wave_719",28.5871563236209
"Wave_720",25.6146109015934
"Wave_721",21.6349258782431
"Wave_722",18.8075164805885
"Wave_723",17.8382925692042
"Wave_724",18.2223368527029
"Wave_725",18.0776051013991
"Wave_726",17.135714243651
"Wave_727",16.0027115392499
"Wave_728",15.2069155385744
"Wave_729",12.7711142763295
"Wave_730",10.3219113817719
"Wave_731",8.56884826001189
"Wave_732",7.36564603840378
"Wave_733",4.77156265278698
"Wave_734",-0.597902097768516
"Wave_735",-8.44833414040225
"Wave_736",-15.9574718984574
"Wave_737",-22.1972834661435
"Wave_738",-26.4617943403437
"Wave_739",-29.1656106127035
"Wave_740",-33.6031228953679
"Wave_741",-36.0692029554533
"Wave_742",-34.4257536585688
"Wave_743",-28.9133997373269
"Wave_744",-26.8321679127557
"Wave_745",-30.9045634363369
"Wave_746",-38.5786037057356
"Wave_747",-40.5094063296175
"Wave_748",-39.8562774424372
"Wave_749",-39.4354988171213
"Wave_750",-40.9428437629897
"Wave_751",-41.1234884414503
"Wave_752",-45.5336154714835
"Wave_753",-51.548969213989
"Wave_754",-52.5183163041553
"Wave_755",-52.8972914986598
"Wave_756",-53.1536617048305
"Wave_757",-53.0655377509116
"Wave_758",-51.9650854736837
"Wave_759",-46.6574151152359
"Wave_760",-43.4111135817852
"Wave_761",-46.4565745253266
"Wave_762",-47.8207605895466
