Ci,Photo,gs,Tleaf,PPFD,Plot,Repeat,Rep,Name,PlotRepeat
65.05662572286427,2.3209681276964416,0.5564608257360615,27.45296363289727,1800.07,1012,3,1,B1K-31-19,1012 3
370.22293231946213,33.81750586917652,0.5678261345369552,27.403174728374925,1800.04,1012,3,1,B1K-31-19,1012 3
551.013339660868,37.82921189020529,0.5661186938112169,27.400614627789942,1800.03,1012,3,1,B1K-31-19,1012 3
844.2821401050128,37.843278804048424,0.5664997684547608,27.398997702647158,1800.08,1012,3,1,B1K-31-19,1012 3
1037.7115026766642,37.554357732390045,0.5520792682957502,27.416566448413832,1800.04,1012,3,1,B1K-31-19,1012 3
1225.207768496963,39.284048030796804,0.5460082772369533,27.42196298399481,1799.76,1012,3,1,B1K-31-19,1012 3
1410.5519243322894,41.29180462320752,0.5324457201004265,27.43714572365977,1800.08,1012,3,1,B1K-31-19,1012 3
1606.4224156437845,40.30178718145278,0.5202174516283786,27.4477801223051,1799.77,1012,3,1,B1K-31-19,1012 3
260.7996435267385,16.47992879232212,0.22602238988430937,27.619929847497197,1799.93,1020,1,1,B1K-51-10,1020 1
201.4647584510835,11.706804795880487,0.22806747219824897,27.606150915303367,1799.99,1020,1,1,B1K-51-10,1020 1
141.8674482548397,6.9901990234450775,0.23383628739912546,27.58932418545495,1799.97,1020,1,1,B1K-51-10,1020 1
83.05734356661644,1.9814842773872665,0.24515698992748702,27.587517064689216,1800.26,1020,1,1,B1K-51-10,1020 1
67.13555435660706,0.8523138003570276,0.25531744567555,27.549409740514196,1800,1020,1,1,B1K-51-10,1020 1
275.3271182241214,17.000799130922104,0.267535359341376,27.51514156710475,1799.97,1020,1,1,B1K-51-10,1020 1
342.3546921927771,21.511511428358368,0.2670254939112414,27.544658224770163,1800,1020,1,1,B1K-51-10,1020 1
507.5523227604014,23.28779509679387,0.23675565688899078,27.61446086304017,1800.01,1020,1,1,B1K-51-10,1020 1
763.2410725642544,23.880358073512507,0.19714246251541012,27.70561695167653,1800.01,1020,1,1,B1K-51-10,1020 1
901.7675138784498,25.496924027951376,0.1636432528224388,27.77452358445766,1800.02,1020,1,1,B1K-51-10,1020 1
1042.3971619349406,26.994215458531947,0.14283916348604922,27.83349463422694,1799.99,1020,1,1,B1K-51-10,1020 1
1212.2402394489447,27.72384238934216,0.1358010255153181,27.84138072823602,1800.01,1020,1,1,B1K-51-10,1020 1
1379.2586470369888,29.024733606937822,0.1311488274249615,27.873091892997227,1800.01,1020,1,1,B1K-51-10,1020 1
257.8263259439024,16.287645874406085,0.21286090834225585,27.61431059434186,1799.97,1020,2,1,B1K-51-10,1020 2
199.05113935991298,11.761338603152657,0.21773832741618937,27.602124655828398,1799.95,1020,2,1,B1K-51-10,1020 2
138.442214692922,7.3441592332666525,0.2248688043263864,27.592650637759455,1799.98,1020,2,1,B1K-51-10,1020 2
